"year","month","day","line","ridership"
2020,9,11,"Green",-79.65754442580837
2020,9,12,"Green",-80.04476336604442
2020,9,13,"Green",-80.12070087912451
2020,9,14,"Green",-80.19630027589103
2020,9,15,"Green",-80.05679770967322
2020,9,16,"Green",-81.06833344029866
2020,9,17,"Green",-80.98093374432861
2020,9,18,"Green",-80.85244831385148
2020,9,19,"Green",-81.11782021472209
2020,9,20,"Green",-81.1614951936336
2020,9,21,"Green",-81.20548519328952
2020,9,22,"Green",-80.78624247931677
2020,9,23,"Green",-80.65882928158986
2020,9,24,"Green",-80.62129602432745
2020,9,25,"Green",-80.21920173621727
2020,9,26,"Green",-80.62035423632769
2020,9,27,"Green",-80.64556884989365
2020,9,28,"Green",-80.67106297683902
2020,9,29,"Green",-80.49661277698308
2020,9,30,"Green",-80.62458054413106
2020,10,1,"Green",-80.41475826696559
2020,10,2,"Green",-80.02620895885671
