servicedate,stationname,validations
1/13/2018,Riverside,803
1/13/2018,Roxbury Crossing,1750
1/13/2018,Ruggles,3738
1/13/2018,Savin Hill,872
1/13/2018,Science Park,604
1/13/2018,Shawmut,961
1/13/2018,South Station,6838
1/13/2018,State Street,4192
1/13/2018,Stony Brook,1754
1/13/2018,Suffolk Downs,241
1/13/2018,Sullivan Square,4021
1/13/2018,Symphony,927
1/13/2018,Tufts Medical Center,2093
1/13/2018,Wellington,2697
1/13/2018,Wonderland,3051
1/13/2018,Wood Island,1137
1/13/2018,World Trade Center,845
1/14/2018,Airport,3771
1/14/2018,Alewife,2645
1/14/2018,Andrew,1891
1/14/2018,Aquarium,1995
1/14/2018,Arlington,2403
1/14/2018,Ashmont,2545
1/14/2018,Assembly,1291
1/14/2018,Back Bay,4577
1/14/2018,Beachmont,1180
1/14/2018,Bowdoin,407
1/14/2018,Boylston,3516
1/14/2018,Braintree,1037
1/14/2018,Broadway,1839
1/14/2018,Central,5883
1/14/2018,Charles MGH,2306
1/14/2018,Chinatown,3103
1/14/2018,Community College,730
1/14/2018,Copley,6105
1/14/2018,Courthouse,501
1/14/2018,Davis,3856
1/14/2018,Downtown Crossing,7958
1/14/2018,Fields Corner,1844
1/14/2018,Forest Hills,3950
1/14/2018,Government Center,2147
1/14/2018,Green Street,899
1/14/2018,Harvard,7530
1/14/2018,Haymarket,4663
1/14/2018,Hynes Convention Center,4184
1/14/2018,Jackson Square,1861
1/14/2018,JFK/Umass,1747
1/14/2018,Kendall/MIT,3382
1/14/2018,Kenmore,3629
1/14/2018,Lechmere,2412
1/14/2018,Malden Center,3683
1/14/2018,Massachusetts Ave.,2223
1/14/2018,Maverick,4537
1/14/2018,North Quincy,2175
1/14/2018,North Station,2946
1/14/2018,Oak Grove,1520
1/14/2018,Orient Heights,1466
1/14/2018,Park Street,6243
1/14/2018,Porter,2966
1/14/2018,Prudential,2425
1/14/2018,Quincy Adams,860
1/14/2018,Quincy Center,2032
